Recebido;Node;RSSI;SNR;Client ID;Bateria;Client RSSI;Mensagem
29/06/2022 09:55;300;-72;56;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 38 2e 35 30 54 3a 32 35 2e 37 30 49 3a 32 35 2e 38 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 b4 df
29/06/2022 09:54;300;-72;56;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 38 2e 35 30 54 3a 32 35 2e 37 30 49 3a 32 35 2e 38 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 b4 df
29/06/2022 09:53;300;-72;56;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 38 2e 35 30 54 3a 32 35 2e 37 30 49 3a 32 35 2e 38 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 b4 df
29/06/2022 09:52;300;-72;56;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 38 2e 35 30 54 3a 32 35 2e 35 30 49 3a 32 35 2e 36 33 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 9c 79
29/06/2022 09:52;255;-108;3;5417;-;-12;ff 00 28 12 02 19 67 00 6c 00 4f 03 00 15 29 00 e6 bd 1a 0c 06 b6 4a 04 ff ff 67 76 99 55
29/06/2022 09:51;300;-72;56;3028528;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 38 2e 36 30 54 3a 32 35 2e 36 30 49 3a 32 35 2e 37 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 93 cf
29/06/2022 09:50;300;-72;56;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 38 2e 35 30 54 3a 32 35 2e 37 30 49 3a 32 35 2e 38 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 b4 df
29/06/2022 09:49;300;-72;56;3028528;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 38 2e 36 30 54 3a 32 35 2e 34 30 49 3a 32 35 2e 35 33 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 ee 3c
29/06/2022 09:48;300;-72;56;3028528;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 38 2e 36 30 54 3a 32 35 2e 37 30 49 3a 32 35 2e 38 36 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 e0 3a
29/06/2022 09:46;300;-72;56;3029040;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 38 2e 38 30 54 3a 32 34 2e 39 30 49 3a 32 34 2e 39 38 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 be bf
